Trial-ID,Status,Iteration,batch_size,num_layers,num_units,Objective,loss
2,INTERMEDIATE,0,8192,12,163,412.1436699039829,510.0723455300741
4,INTERMEDIATE,0,8192,16,225,433.7572427483597,579.2985932541188
3,INTERMEDIATE,0,4096,11,198,387.39840875449755,451.7533598307575
2,INTERMEDIATE,1,8192,12,163,383.547733315903,400.7972958322099
4,INTERMEDIATE,1,8192,16,225,381.63634205991775,406.0303959975571
2,INTERMEDIATE,2,8192,12,163,376.34577554112064,381.309044232409
1,INTERMEDIATE,0,2048,18,103,392.8634000159888,457.49927021714024
3,INTERMEDIATE,1,4096,11,198,369.5540026040224,378.1773450988628
4,INTERMEDIATE,2,8192,16,225,370.65490075149717,380.1893342232759
2,INTERMEDIATE,3,8192,12,163,372.7758831808753,370.84196044379024
2,INTERMEDIATE,4,8192,12,163,361.99392040063304,364.3170792534659
3,INTERMEDIATE,2,4096,11,198,359.19167503735696,365.3427095258319
4,INTERMEDIATE,3,8192,16,225,359.69710335156594,368.447207327693
2,INTERMEDIATE,5,8192,12,163,356.37153243116734,360.19490188161996
4,INTERMEDIATE,4,8192,16,225,358.67940573545775,362.0394516168227
1,INTERMEDIATE,1,2048,18,103,373.8889614188643,387.57203351999567
3,INTERMEDIATE,3,4096,11,198,356.55092382318304,359.12686184959085
2,INTERMEDIATE,6,8192,12,163,354.6484646267361,356.9165390734514
4,INTERMEDIATE,5,8192,16,225,351.94683837890625,357.70382635554694
2,INTERMEDIATE,7,8192,12,163,352.3710377830704,354.3972080227763
3,INTERMEDIATE,4,4096,11,198,352.8289333956743,355.0311425807212
4,INTERMEDIATE,6,8192,16,225,350.16824999148685,354.335068876026
2,INTERMEDIATE,8,8192,12,163,348.9040132527092,352.4436228634863
1,INTERMEDIATE,2,2048,18,103,369.06648044383275,375.7887611993965
3,INTERMEDIATE,5,4096,11,198,347.8227363207661,352.3676948045818
2,INTERMEDIATE,9,8192,12,163,348.16868759047054,350.8664286968234
2,COMPLETED,9,8192,12,163,348.16868759047054,350.8664286968234
4,INTERMEDIATE,7,8192,16,225,350.5163473395309,352.0403960508979
4,INTERMEDIATE,8,8192,16,225,346.9054113076934,350.09512183358294
3,INTERMEDIATE,6,4096,11,198,348.78801178988556,350.33940140148144
5,INTERMEDIATE,0,4096,19,217,409.5455212649442,518.0520624896859
4,INTERMEDIATE,9,8192,16,225,346.42297747456433,348.4694034490858
4,COMPLETED,9,8192,16,225,346.42297747456433,348.4694034490858
1,INTERMEDIATE,3,2048,18,103,367.801402732272,369.5001969643554
3,INTERMEDIATE,7,4096,11,198,347.7330319244529,348.6920098424972
5,INTERMEDIATE,1,4096,19,217,377.51869042939893,392.12681633874786
3,INTERMEDIATE,8,4096,11,198,345.2778677929096,347.35436632609236
6,INTERMEDIATE,0,2048,11,198,377.2511333607613,425.6344109687894
1,INTERMEDIATE,4,2048,18,103,361.06348580502447,365.71463563067914
3,INTERMEDIATE,9,4096,11,198,343.5230729213561,345.9121666072601
3,COMPLETED,9,4096,11,198,343.5230729213561,345.9121666072601
5,INTERMEDIATE,2,4096,19,217,366.2891227776277,372.11841995109444
7,INTERMEDIATE,0,8192,14,241,401.57759085220084,507.05862579581725
6,INTERMEDIATE,1,2048,11,198,361.92208086486124,370.9811554382867
7,INTERMEDIATE,1,8192,14,241,377.83242626505825,392.6483856165769
5,INTERMEDIATE,3,4096,19,217,356.17340624473337,364.2736900813434
1,INTERMEDIATE,5,2048,18,103,359.2721205715874,362.9105660275535
7,INTERMEDIATE,2,8192,14,241,369.64680477349754,374.0203152956745
6,INTERMEDIATE,2,2048,11,198,356.6753501886453,361.7774917989024
7,INTERMEDIATE,3,8192,14,241,355.61914143663773,364.53298084586515
5,INTERMEDIATE,4,4096,19,217,359.83424661514607,359.2337513161738
7,INTERMEDIATE,4,8192,14,241,351.61832058232443,359.0537764157607
1,INTERMEDIATE,6,2048,18,103,354.1650628085396,360.6454174369228
6,INTERMEDIATE,3,2048,11,198,350.81980455006266,357.0668077136967
7,INTERMEDIATE,5,8192,14,241,350.3974965954503,355.18622112347924
5,INTERMEDIATE,5,4096,19,217,352.4026680037767,356.08773701631645
7,INTERMEDIATE,6,8192,14,241,344.92549896240234,352.3468484723651
1,INTERMEDIATE,7,2048,18,103,358.75634169014916,358.7099096013517
7,INTERMEDIATE,7,8192,14,241,351.62155679833523,350.36887790948407
6,INTERMEDIATE,4,2048,11,198,350.47043640252826,353.9723430450628
5,INTERMEDIATE,6,4096,19,217,356.5706064526353,353.7908814320339
7,INTERMEDIATE,8,8192,14,241,343.80262676987525,348.68349794297836
7,INTERMEDIATE,9,8192,14,241,341.43530722543704,347.1173363882538
7,COMPLETED,9,8192,14,241,341.43530722543704,347.1173363882538
5,INTERMEDIATE,7,4096,19,217,350.96442957578256,351.8918840123624
6,INTERMEDIATE,5,2048,11,198,347.72064629965075,351.6742511138562
1,INTERMEDIATE,8,2048,18,103,352.9867071832044,356.9688624686634
8,INTERMEDIATE,0,8192,14,242,403.4026130333578,504.93036174847924
8,INTERMEDIATE,1,8192,14,242,374.7111764461436,392.710790576625
5,INTERMEDIATE,8,4096,19,217,347.30990777793505,350.26892296952605
6,INTERMEDIATE,6,2048,11,198,348.56555258213206,349.842059283688
8,INTERMEDIATE,2,8192,14,242,362.02285876623563,373.93501365525907
1,INTERMEDIATE,9,2048,18,103,354.0719126547482,355.48544535891364
1,COMPLETED,9,2048,18,103,352.9867071832044,356.9688624686634
5,INTERMEDIATE,9,4096,19,217,346.9827530727882,348.8492534900025
8,INTERMEDIATE,3,8192,14,242,366.9416309473926,364.2385438593063
5,COMPLETED,9,4096,19,217,346.9827530727882,348.8492534900025
9,INTERMEDIATE,0,8192,12,198,405.0134130347141,505.8482425037688
9,INTERMEDIATE,1,8192,12,198,384.0041885015249,396.6178770426716
8,INTERMEDIATE,4,8192,14,242,354.5097921745715,358.9557946980322
6,INTERMEDIATE,7,2048,11,198,347.8519341683557,348.33452374900116
10,INTERMEDIATE,0,8192,14,241,401.0864989368628,496.70958824777273
9,INTERMEDIATE,2,8192,12,198,365.1521586785643,377.240333250301
8,INTERMEDIATE,5,8192,14,242,350.12044756012324,354.95583921168446
10,INTERMEDIATE,1,8192,14,241,383.9515666916579,392.58006394600926
9,INTERMEDIATE,3,8192,12,198,366.02157417820416,367.45063427706054
8,INTERMEDIATE,6,8192,14,242,349.8821349267982,352.2794220430945
10,INTERMEDIATE,2,8192,14,241,368.54193540893266,374.6049030123989
6,INTERMEDIATE,8,2048,11,198,348.3517465140521,346.823691719185
9,INTERMEDIATE,4,8192,12,198,355.8107643578351,361.7779236842935
8,INTERMEDIATE,7,8192,14,242,351.7544533298934,350.1716269237167
10,INTERMEDIATE,3,8192,14,241,367.780295063136,364.66268142027536
9,INTERMEDIATE,5,8192,12,198,353.70296988701426,357.77729565472174
8,INTERMEDIATE,8,8192,14,242,344.89138727210656,348.4314473647068
9,INTERMEDIATE,6,8192,12,198,348.8064525414866,354.38264939735217
10,INTERMEDIATE,4,8192,14,241,359.99919279923677,359.22360637809356
6,INTERMEDIATE,9,2048,11,198,350.274861263327,345.5564585004955
6,COMPLETED,9,2048,11,198,347.72064629965075,351.6742511138562
8,INTERMEDIATE,9,8192,14,242,345.66114321949914,346.9920223262636
8,COMPLETED,9,8192,14,242,344.89138727210656,348.4314473647068
9,INTERMEDIATE,7,8192,12,198,346.82112217174915,352.1432604159114
10,INTERMEDIATE,5,8192,14,241,350.40347228715325,355.24071438959743
11,INTERMEDIATE,0,8192,15,240,438.3197064050264,575.8806649582016
9,INTERMEDIATE,8,8192,12,198,351.94405296451936,350.11535290499023
10,INTERMEDIATE,6,8192,14,241,347.28370392350723,352.35409024881005
12,INTERMEDIATE,0,4096,10,199,387.39267461970627,453.86163602092887
11,INTERMEDIATE,1,8192,15,240,392.5294845797491,414.35120644978747
9,INTERMEDIATE,9,8192,12,198,344.23275334784324,348.67064666748047
9,COMPLETED,9,8192,12,198,344.23275334784324,348.67064666748047
10,INTERMEDIATE,7,8192,14,241,352.54633049931084,350.31920252045455
12,INTERMEDIATE,1,4096,10,199,369.77658770946744,379.08824566917093
11,INTERMEDIATE,2,8192,15,240,373.28564036484306,383.55789267767886
10,INTERMEDIATE,8,8192,14,241,344.75935150940086,348.4782450676702
13,INTERMEDIATE,0,4096,12,198,386.01381782549777,455.4628916487432
11,INTERMEDIATE,3,8192,15,240,360.76736120129306,369.1529954820295
12,INTERMEDIATE,2,4096,10,199,357.46194506255165,365.55551286713614
10,INTERMEDIATE,9,8192,14,241,342.8419700424158,346.9252809434553
10,COMPLETED,9,8192,14,241,342.8419700424158,346.9252809434553
13,INTERMEDIATE,1,4096,12,198,364.9384767654094,378.85711689688674
11,INTERMEDIATE,4,8192,15,240,361.40564897325305,361.55240558526907
12,INTERMEDIATE,3,4096,10,199,353.6383419487775,359.58941463638627
14,INTERMEDIATE,0,8192,14,241,401.3069938136613,515.9438381799873
11,INTERMEDIATE,5,8192,15,240,352.13939071547054,356.99267811786274
14,INTERMEDIATE,1,8192,14,241,378.8953246709585,393.44168508578343
13,INTERMEDIATE,2,4096,12,198,358.6976163381662,365.9100541382544
12,INTERMEDIATE,4,4096,10,199,350.9633678273952,355.2682971467551
11,INTERMEDIATE,6,8192,15,240,350.83293245644717,353.54763038086503
14,INTERMEDIATE,2,8192,14,241,370.27191367724265,373.601105273277
13,INTERMEDIATE,3,4096,12,198,356.75555129986844,359.68488272529004
12,INTERMEDIATE,5,4096,10,199,348.9406294089964,352.384043452358
11,INTERMEDIATE,7,8192,15,240,347.6493380030278,351.1713747878639
14,INTERMEDIATE,3,8192,14,241,360.6339777412144,364.58651216511385
11,INTERMEDIATE,8,8192,15,240,350.6735942290466,349.4323004997708
12,INTERMEDIATE,6,4096,10,199,346.3692375886525,350.25408274686714
13,INTERMEDIATE,4,4096,12,198,352.2426208018129,355.7016395869775
14,INTERMEDIATE,4,8192,14,241,361.0613036099337,359.10643811974523
11,INTERMEDIATE,9,8192,15,240,345.500563096211,347.89432250669734
11,COMPLETED,9,8192,15,240,345.500563096211,347.89432250669734
14,INTERMEDIATE,5,8192,14,241,352.06147641662164,354.82641810441515
12,INTERMEDIATE,7,4096,10,199,344.79026253792694,348.51896586348084
13,INTERMEDIATE,5,4096,12,198,349.19556050943146,352.9436748944229
15,INTERMEDIATE,0,8192,14,241,411.1461782793627,511.2123075811234
14,INTERMEDIATE,6,8192,14,241,351.6071423108978,352.3058749890014
12,INTERMEDIATE,8,4096,10,199,348.2909664803363,347.0452310837984
15,INTERMEDIATE,1,8192,14,241,375.18903621375983,391.9389682660615
14,INTERMEDIATE,7,8192,14,241,348.44062958485125,350.0404802456625
13,INTERMEDIATE,6,4096,12,198,350.0212230186372,350.8291272003339
15,INTERMEDIATE,2,8192,14,241,363.4415762971197,373.08410220872685
12,INTERMEDIATE,9,4096,10,199,350.1086261514794,345.71507578272275
14,INTERMEDIATE,8,8192,14,241,344.9526412819576,348.2761737324891
12,COMPLETED,9,4096,10,199,344.79026253792694,348.51896586348084
13,INTERMEDIATE,7,4096,12,198,345.5439167293251,349.16903200614206
15,INTERMEDIATE,3,8192,14,241,355.0148487496883,363.96458771979263
14,INTERMEDIATE,9,8192,14,241,346.38920513901587,346.79833774315875
14,COMPLETED,9,8192,14,241,344.9526412819576,348.2761737324891
16,INTERMEDIATE,0,8192,14,241,408.4506330377385,503.35045668033325
15,INTERMEDIATE,4,8192,14,241,354.43779981897234,358.6716652241033
13,INTERMEDIATE,8,4096,12,198,342.9881137054299,347.77193604931756
16,INTERMEDIATE,1,8192,14,241,374.4596075504384,392.6663592486813
17,INTERMEDIATE,0,4096,6,256,383.3527860213115,450.89577332487056
15,INTERMEDIATE,5,8192,14,241,352.1631456920723,354.9936165038874
16,INTERMEDIATE,2,8192,14,241,373.8293699801109,374.0104234758865
17,INTERMEDIATE,1,4096,6,256,368.6700484724473,377.9450069760871
13,INTERMEDIATE,9,4096,12,198,343.2661556622661,346.48312955592274
13,COMPLETED,9,4096,12,198,342.9881137054299,347.77193604931756
15,INTERMEDIATE,6,8192,14,241,349.1331876930616,352.1521370010789
16,INTERMEDIATE,3,8192,14,241,358.7090706971802,364.67321981502334
17,INTERMEDIATE,2,4096,6,256,361.5931159801799,363.94059375193535
18,INTERMEDIATE,0,8192,13,241,399.00812701863316,502.170449229607
15,INTERMEDIATE,7,8192,14,241,347.13978371045266,350.1087083632137
16,INTERMEDIATE,4,8192,14,241,352.33827754171745,358.94084358657875
17,INTERMEDIATE,3,4096,6,256,351.10081314195133,357.23355231170774
18,INTERMEDIATE,1,8192,13,241,377.56396561931496,391.5332861691598
15,INTERMEDIATE,8,8192,14,241,345.35523874990764,348.3900982413473
16,INTERMEDIATE,5,8192,14,241,353.46335572948414,354.86274697406293
17,INTERMEDIATE,4,4096,6,256,348.72562849888,353.2688376359578
18,INTERMEDIATE,2,8192,13,241,363.82986498893575,372.9700343994235
15,INTERMEDIATE,9,8192,14,241,344.4073250051368,346.89257896877683
15,COMPLETED,9,8192,14,241,344.4073250051368,346.89257896877683
16,INTERMEDIATE,6,8192,14,241,347.62572120323813,352.2286440442905
18,INTERMEDIATE,3,8192,13,241,353.7275565036927,364.1724820472617
17,INTERMEDIATE,5,4096,6,256,346.2168600339416,350.42338581188466
16,INTERMEDIATE,7,8192,14,241,348.8946247687013,350.2023005002428
18,INTERMEDIATE,4,8192,13,241,352.97002039338963,358.87902525793373
17,INTERMEDIATE,6,4096,6,256,344.0100592123983,348.23293856143584
19,INTERMEDIATE,0,4096,14,198,387.9560176136928,464.44375005546505
16,INTERMEDIATE,8,8192,14,241,344.64469036706515,348.2086341427171
18,INTERMEDIATE,5,8192,13,241,348.8133293133819,354.6997312411539
17,INTERMEDIATE,7,4096,6,256,353.7076494744484,346.34439706470465
18,INTERMEDIATE,6,8192,13,241,348.05753510387234,351.9033398373774
16,INTERMEDIATE,9,8192,14,241,343.05856101394545,346.9673746319953
16,COMPLETED,9,8192,14,241,343.05856101394545,346.9673746319953
19,INTERMEDIATE,1,4096,14,198,366.328309674635,379.69275477351096
17,INTERMEDIATE,8,4096,6,256,339.74010481958413,344.65662750161533
18,INTERMEDIATE,7,8192,13,241,348.50827055225415,349.8504338983593
20,INTERMEDIATE,0,8192,12,240,398.9694726100768,491.585463356437
17,INTERMEDIATE,9,4096,6,256,342.4464525037905,343.21342482423006
17,COMPLETED,9,4096,6,256,339.74010481958413,344.65662750161533
20,INTERMEDIATE,1,8192,12,240,374.8494157903865,390.61524213420637
18,INTERMEDIATE,8,8192,13,241,342.2168784175359,348.08090709736433
19,INTERMEDIATE,2,4096,14,198,362.26078216516663,366.74716856824455
21,INTERMEDIATE,0,4096,6,256,385.5577181011227,447.02807579719087
20,INTERMEDIATE,2,8192,12,240,359.7301125853338,372.75683800858855
18,INTERMEDIATE,9,8192,13,241,343.48713440590717,346.4447067921602
18,COMPLETED,9,8192,13,241,342.2168784175359,348.08090709736433
21,INTERMEDIATE,1,4096,6,256,363.6260728678241,375.9186767643031
20,INTERMEDIATE,3,8192,12,240,358.5897524497751,363.8084914405864
19,INTERMEDIATE,3,4096,14,198,354.37114424288416,360.42756826897875
22,INTERMEDIATE,0,4096,6,255,391.31859856914406,448.82625297198257
20,INTERMEDIATE,4,8192,12,240,354.24976051276457,358.622332951309
21,INTERMEDIATE,2,4096,6,256,357.60955784394105,363.2149680241631
22,INTERMEDIATE,1,4096,6,255,365.55208818512324,376.9799046704498
20,INTERMEDIATE,5,8192,12,240,349.87372168863357,354.59264833431143
19,INTERMEDIATE,4,4096,14,198,355.24428445622146,356.52304477204854
21,INTERMEDIATE,3,4096,6,256,351.5822853106415,356.719300422757
22,INTERMEDIATE,2,4096,6,255,355.6075976441656,363.6429253539095
20,INTERMEDIATE,6,8192,12,240,347.3837008104257,351.90031221276183
21,INTERMEDIATE,4,4096,6,256,347.048508759086,352.77767233026185
19,INTERMEDIATE,5,4096,14,198,354.9337572318724,353.8263234479982
22,INTERMEDIATE,3,4096,6,255,350.47668469205814,356.87634452294674
20,INTERMEDIATE,7,8192,12,240,344.76556454200835,349.7089695587512
21,INTERMEDIATE,5,4096,6,256,344.6662502198636,349.9956203056507
20,INTERMEDIATE,8,8192,12,240,349.4407113077511,348.0676821349484
22,INTERMEDIATE,4,4096,6,255,348.5886652700726,352.9916961298188
19,INTERMEDIATE,6,4096,14,198,348.3193015556245,351.7394597849363
21,INTERMEDIATE,6,4096,6,256,346.99949148642537,347.78558590941344
20,INTERMEDIATE,9,8192,12,240,348.6012199708474,346.5691921709124
20,COMPLETED,9,8192,12,240,344.76556454200835,349.7089695587512
22,INTERMEDIATE,5,4096,6,255,349.30932805667817,350.2036212735276
21,INTERMEDIATE,7,4096,6,256,344.03987771343117,345.8041748377305
23,INTERMEDIATE,0,4096,6,256,382.870461385019,448.27326046028344
22,INTERMEDIATE,6,4096,6,255,346.0268755071834,347.7642630291649
19,INTERMEDIATE,7,4096,14,198,349.1932930732168,349.92325321796415
21,INTERMEDIATE,8,4096,6,256,339.66790520327595,344.27005031730255
23,INTERMEDIATE,1,4096,6,256,364.9223573427674,377.3086391310312
22,INTERMEDIATE,7,4096,6,255,340.5715612361899,345.79309702767756
21,INTERMEDIATE,9,4096,6,256,340.66877895382277,342.9070952519463
21,COMPLETED,9,4096,6,256,339.66790520327595,344.27005031730255
23,INTERMEDIATE,2,4096,6,256,358.77601770982676,364.0320286555338
19,INTERMEDIATE,8,4096,14,198,345.481472249854,348.596559555514
22,INTERMEDIATE,8,4096,6,255,341.36669556187115,344.1211191724643
24,INTERMEDIATE,0,4096,6,256,387.5319930317836,450.05663248815927
23,INTERMEDIATE,3,4096,6,256,350.5529683881899,357.122662159978
22,INTERMEDIATE,9,4096,6,255,339.6937101467845,342.8081547382352
22,COMPLETED,9,4096,6,255,339.6937101467845,342.8081547382352
19,INTERMEDIATE,9,4096,14,198,343.7490677574284,347.2808701322693
19,COMPLETED,9,4096,14,198,343.7490677574284,347.2808701322693
24,INTERMEDIATE,1,4096,6,256,368.7879166208542,377.2993515232968
23,INTERMEDIATE,4,4096,6,256,350.7284461758661,353.1150311250974
25,INTERMEDIATE,0,4096,6,256,386.7469202046135,447.9241849953872
26,INTERMEDIATE,0,4096,6,256,384.8515378171952,450.10676641088077
24,INTERMEDIATE,2,4096,6,256,356.5864612272727,363.938518338303
23,INTERMEDIATE,5,4096,6,256,345.7990888726345,350.21623464231794
25,INTERMEDIATE,1,4096,6,256,369.47603543599445,376.5615178260892
26,INTERMEDIATE,1,4096,6,256,365.2104016522707,377.8108669850408
24,INTERMEDIATE,3,4096,6,256,353.6092341177289,357.21652020176344
23,INTERMEDIATE,6,4096,6,256,345.3198921032268,347.7927072499947
25,INTERMEDIATE,2,4096,6,256,360.19331828809516,363.4690497620384
26,INTERMEDIATE,2,4096,6,256,355.2798148306267,364.0441297455896
24,INTERMEDIATE,4,4096,6,256,347.617540309897,353.05846889758425
23,INTERMEDIATE,7,4096,6,256,338.9139788607334,345.76558839306756
25,INTERMEDIATE,3,4096,6,256,348.68037485794537,356.65392764003724
26,INTERMEDIATE,3,4096,6,256,350.8368406588868,357.03390083696524
24,INTERMEDIATE,5,4096,6,256,350.09988059276105,350.16569552971055
23,INTERMEDIATE,8,4096,6,256,341.96940632633004,344.14653666260995
25,INTERMEDIATE,4,4096,6,256,349.3592884208012,352.8481958541221
26,INTERMEDIATE,4,4096,6,256,347.841593280188,352.86254457088745
24,INTERMEDIATE,6,4096,6,256,341.64423270259346,347.80052645890544
23,INTERMEDIATE,9,4096,6,256,339.01121737432817,342.7970271040466
23,COMPLETED,9,4096,6,256,338.9139788607334,345.76558839306756
25,INTERMEDIATE,5,4096,6,256,350.1244745141789,350.01071030099723
26,INTERMEDIATE,5,4096,6,256,347.2422024656977,350.02005713242295
24,INTERMEDIATE,7,4096,6,256,340.7967963523053,345.79171339302036
